parameter,n,mu,sd,se,p
crit,40,0.068167753,0.52704282,0.083332787,0.41831668
dprime,40,-0.031099928,0.441956696,0.069879489,0.658743427
crit,40,-0.058810161,0.540549978,0.085468456,0.495467461
dprime,40,0.050044914,0.394985667,0.062452718,0.427798957
crit,40,0.038399106,0.520629247,0.082318712,0.64347526
dprime,40,0.14921455,0.487149629,0.077025119,0.059985743
crit,40,1.99E-05,0.556797556,0.088037424,0.999820958
dprime,40,0.081965338,0.55140714,0.087185124,0.352937733
crit,40,-0.009300612,0.557036183,0.088075154,0.916442123
dprime,40,0.009919037,0.609605592,0.096387107,0.918563062
crit,40,0.297900379,0.583082141,0.092193381,0.002506243
dprime,40,0.08504872,0.598310019,0.09460112,0.374157078
crit,40,-0.159868664,0.557424167,0.0881365,0.077396363
dprime,40,-0.072370151,0.418268339,0.066134031,0.280538253
crit,40,0.053914896,0.558588588,0.088320611,0.545108065
dprime,40,0.1065046,0.620027168,0.098034903,0.283973744
crit,40,0.082312227,0.575983371,0.091070967,0.371637392
dprime,40,-0.129889828,0.581568722,0.091954089,0.165718583
crit,40,-0.084399756,0.565354431,0.089390384,0.350895424
dprime,40,-0.20286998,0.485231252,0.076721797,0.011734849
crit,40,0.0735708,0.528505043,0.083563985,0.384029075
dprime,40,-0.071700383,0.586601653,0.092749865,0.444152472
crit,40,-0.019078843,0.62211051,0.098364308,0.847213147
dprime,40,-0.03333384,0.569544823,0.090052943,0.713267302
crit,40,0.164272558,0.59424682,0.093958672,0.088272325
dprime,40,0.036477916,0.506128332,0.080025916,0.651042946
crit,40,-0.182438181,0.502138841,0.079395122,0.027019111
dprime,40,0.125427098,0.589436313,0.093198064,0.186135014
crit,40,0.046312337,0.63613827,0.100582292,0.647755954
dprime,40,-0.028681148,0.492469707,0.077866298,0.714612785
crit,40,0.097245388,0.523114394,0.082711648,0.24683605
dprime,40,-0.127978865,0.535840089,0.084723757,0.138965607
crit,40,0.162622002,0.546107137,0.08634712,0.067125567
dprime,40,0.106287989,0.562754268,0.088979262,0.239486936
crit,40,-0.117113509,0.440866741,0.069707152,0.100936372
dprime,40,-0.041974928,0.493855487,0.078085409,0.593940983
crit,40,0.050743554,0.504804004,0.079816521,0.528650981
dprime,40,0.014100411,0.499978544,0.079053549,0.859359403
crit,40,0.003614713,0.597905764,0.094537202,0.969694674
dprime,40,-0.15451352,0.611852812,0.096742424,0.118301226
crit,40,-0.053454312,0.513500622,0.081191577,0.514166785
dprime,40,0.080976685,0.476969078,0.075415433,0.289537371
crit,40,0.048763994,0.527484985,0.083402699,0.56212951
dprime,40,0.072060565,0.517390744,0.08180666,0.383787638
crit,40,0.059042151,0.540130417,0.085402118,0.493445099
dprime,40,-0.071554311,0.514614303,0.081367666,0.384573709
crit,40,-0.104398507,0.554067168,0.087605711,0.240585904
dprime,40,-0.009286441,0.47528148,0.0751486,0.902286964
crit,40,0.220996865,0.547417242,0.086554266,0.01469599
dprime,40,0.114779065,0.666782272,0.105427534,0.282967804
crit,40,0.131459323,0.557631829,0.088169334,0.144009588
dprime,40,0.185657426,0.402662047,0.06366646,0.005849292
crit,40,-0.005447773,0.52210536,0.082552106,0.947721387
dprime,40,-0.177736997,0.429154308,0.067855254,0.012484756
crit,40,-0.021234691,0.602188632,0.095214383,0.824684104
dprime,40,0.126693854,0.643987009,0.101823287,0.220832977
crit,40,-0.020953796,0.48409838,0.076542675,0.785719025
dprime,40,0.019362737,0.447778914,0.070800063,0.785923777
crit,40,-0.182291117,0.49194931,0.077784016,0.024292109
dprime,40,-0.146514548,0.57995605,0.091699103,0.118164845
crit,40,-0.018621862,0.576597801,0.091168117,0.839213712
dprime,40,-0.156936459,0.676355801,0.106941242,0.150258516
crit,40,0.091757545,0.571433262,0.090351532,0.316097413
dprime,40,-0.034497297,0.527891452,0.083466967,0.68164713
crit,40,0.170901213,0.429468733,0.067904969,0.016066082
dprime,40,5.38E-04,0.395430277,0.062523016,0.993178818
crit,40,-0.022111368,0.559854187,0.088520719,0.804062752
dprime,40,-0.090750802,0.481733709,0.076168787,0.240679989
crit,40,-0.035201182,0.600209815,0.094901505,0.712701925
dprime,40,0.072186006,0.513521265,0.081194841,0.37942904
crit,40,-0.126852655,0.574502033,0.090836747,0.170464515
dprime,40,-0.025117315,0.507921251,0.080309401,0.756131754
crit,40,-0.178612797,0.607758406,0.096095041,0.070626761
dprime,40,-0.089831343,0.53226757,0.084158892,0.29235353
crit,40,-0.011495661,0.613364038,0.09698137,0.906252418
dprime,40,0.062087008,0.445703044,0.070471839,0.383705092
crit,40,0.092761029,0.5335952,0.084368809,0.278303665
dprime,40,-0.051332125,0.435170988,0.068806575,0.460119575
crit,40,0.049747038,0.417955259,0.066084529,0.456102892
dprime,40,0.004681356,0.6062192,0.095851672,0.961296404
crit,40,-0.122161503,0.645585054,0.10207596,0.238620551
dprime,40,-0.021466905,0.581317926,0.091914434,0.816553507
crit,40,-0.062183699,0.57447355,0.090832244,0.497645274
dprime,40,-0.088546698,0.549405248,0.086868597,0.314334015
crit,40,-0.032582172,0.50204528,0.079380329,0.683717459
dprime,40,-0.037992412,0.550064372,0.086972814,0.664643153
crit,40,0.060207525,0.477915178,0.075565024,0.430411794
dprime,40,0.127611907,0.532254885,0.084156887,0.137493475
crit,40,-0.127030858,0.457083511,0.072271249,0.08664672
dprime,40,0.019245141,0.521445153,0.082447718,0.816654335
crit,40,-0.006123686,0.554834548,0.087727045,0.944706479
dprime,40,0.108254544,0.482981117,0.07636602,0.16425538
crit,40,0.13896723,0.575190777,0.090945647,0.134577043
dprime,40,0.030184495,0.435850479,0.068914012,0.663801073
crit,40,0.135058239,0.54473089,0.086129516,0.124940712
dprime,40,0.056958434,0.518019599,0.08190609,0.49092062
crit,40,0.014260864,0.536359811,0.084805932,0.867327393
dprime,40,0.052437616,0.45907792,0.072586592,0.474349468
crit,40,-0.063672736,0.574041791,0.090763977,0.487143958
dprime,40,-0.112044283,0.556972544,0.088065092,0.210804016
crit,40,0.123666119,0.39825595,0.062969795,0.05669884
dprime,40,-0.024382215,0.444119207,0.070221412,0.730293535
crit,40,0.091196135,0.426865628,0.067493382,0.184422549
dprime,40,0.035439131,0.472792349,0.074755034,0.63809336
crit,40,-0.097040577,0.546952219,0.086480739,0.268678438
dprime,40,0.010079885,0.471202903,0.074503721,0.893075544
crit,40,0.112642649,0.488541732,0.07724523,0.152779175
dprime,40,-0.159535786,0.493430271,0.078018176,0.047659754
crit,40,0.055230588,0.558529929,0.088311336,0.53534626
dprime,40,-0.028100345,0.569897426,0.090108695,0.756816085
crit,40,0.009478628,0.590115741,0.093305491,0.919604978
dprime,40,-0.069632981,0.536930309,0.084896136,0.417079289
crit,40,0.18631592,0.594317621,0.093969867,0.054474212
dprime,40,0.073082201,0.528314408,0.083533843,0.386994701
crit,40,0.001934817,0.460948692,0.072882388,0.978956335
dprime,40,0.062795058,0.448889135,0.070975604,0.381718411
crit,40,-0.079478962,0.624918125,0.098808231,0.42605623
dprime,40,-0.165358817,0.595193546,0.094108363,0.086747702
crit,40,0.049592555,0.534869759,0.084570334,0.560981711
dprime,40,0.062049786,0.599636993,0.094810933,0.516657911
crit,40,-0.03627542,0.545032612,0.086177223,0.676109812
dprime,40,-0.049813212,0.547832026,0.086619849,0.568541341
crit,40,0.039563629,0.575180647,0.090944046,0.665936706
dprime,40,0.053350253,0.521333032,0.08242999,0.521281854
crit,40,-0.003050657,0.481000666,0.076052883,0.968208231
dprime,40,-0.036631279,0.534245684,0.08447166,0.666930782
crit,40,0.149553795,0.598030679,0.094556953,0.121811931
dprime,40,0.038392905,0.478880945,0.075717726,0.614972794
crit,40,-0.029948085,0.508049649,0.080329703,0.711305035
dprime,40,0.082018413,0.492749721,0.077910572,0.298945995
crit,40,0.06265625,0.598468851,0.094626234,0.511772521
dprime,40,-0.0154005,0.517574274,0.081835678,0.851705008
crit,40,0.03298531,0.505708203,0.079959488,0.682213483
dprime,40,-0.151512055,0.491361554,0.077691083,0.058368124
crit,40,0.008919632,0.533506452,0.084354777,0.916331048
dprime,40,0.082679506,0.410317725,0.064876929,0.210061243
crit,40,0.130796269,0.451946857,0.071459072,0.074845127
dprime,40,0.146657342,0.499270775,0.078941641,0.070759763
crit,40,-0.18150558,0.581518108,0.091946086,0.055490008
dprime,40,-0.007576265,0.446729063,0.070634067,0.915131996
crit,40,0.010920197,0.587287851,0.092858363,0.906987731
dprime,40,0.017846572,0.461181997,0.072919276,0.807937655
crit,40,0.040246534,0.477400934,0.075483715,0.596933374
dprime,40,0.026195855,0.505286132,0.079892752,0.744750352
crit,40,-0.065252399,0.460872943,0.072870411,0.37603601
dprime,40,0.028697757,0.529506298,0.083722297,0.733609812
crit,40,0.173229933,0.519722288,0.082175309,0.041504074
dprime,40,0.050361641,0.498661279,0.078845271,0.526725625
crit,40,-0.125460184,0.525669096,0.083115582,0.13923951
dprime,40,-0.068252039,0.442207226,0.069919102,0.335002923
crit,40,-0.047815699,0.447597072,0.070771311,0.503258054
dprime,40,0.113407927,0.433053233,0.068471728,0.105691715
crit,40,-0.085215226,0.52470458,0.082963079,0.310680275
dprime,40,-0.176962997,0.431844442,0.068280602,0.013370006
crit,40,0.101262594,0.61409794,0.09709741,0.30341782
dprime,40,0.070163347,0.502535696,0.07945787,0.382633178
crit,40,-0.064259779,0.602952261,0.095335123,0.504261037
dprime,40,-0.075041645,0.578629668,0.091489384,0.41707442
crit,40,0.110793081,0.598018401,0.094555011,0.248413609
dprime,40,0.161734793,0.49018331,0.077504787,0.043494088
crit,40,-0.080521511,0.61634671,0.097452972,0.413682944
dprime,40,-0.04160411,0.467400934,0.073902577,0.576685205
crit,40,-0.150416579,0.493504018,0.078029837,0.061200283
dprime,40,0.067766553,0.580757337,0.091825798,0.464938014
crit,40,0.051402871,0.498073317,0.078752306,0.51776881
dprime,40,-0.031579554,0.466244649,0.073719752,0.670736216
crit,40,-0.071916335,0.612643533,0.096867448,0.462281257
dprime,40,-0.12255245,0.551129427,0.087141214,0.167533846
crit,40,0.083664486,0.699980446,0.110676626,0.454229298
dprime,40,0.073608565,0.513106974,0.081129336,0.369820917
crit,40,-0.02660308,0.538614516,0.085162433,0.756415583
dprime,40,-0.050885028,0.473659878,0.074892203,0.500869814
crit,40,0.087260602,0.539273054,0.085266557,0.31243163
dprime,40,-0.016880058,0.45888699,0.072556404,0.817251857
crit,40,0.188334355,0.497894357,0.07872401,0.021657115
dprime,40,0.017403187,0.573871971,0.090737126,0.848895689
crit,40,0.042640771,0.555602535,0.087848474,0.630115441
dprime,40,0.052368054,0.519897604,0.082203029,0.527809559
crit,40,-0.11825984,0.490510327,0.077556492,0.1353727
dprime,40,-0.016795601,0.374940062,0.059283229,0.778436815
crit,40,0.102111583,0.580292043,0.091752228,0.272561701
dprime,40,-0.040096161,0.517289507,0.081790653,0.626718502
crit,40,0.099539277,0.501909294,0.079358827,0.217201017
dprime,40,0.006642502,0.487575615,0.077092474,0.931777862
crit,40,-0.062024241,0.530871459,0.083938148,0.464374968
dprime,40,-0.053953866,0.576765379,0.091194614,0.557509632
crit,40,-0.149294855,0.55076008,0.087082815,0.094393056
dprime,40,-0.058240864,0.431058557,0.068156342,0.398036543
crit,40,-0.096690267,0.656775267,0.103845288,0.357530465
dprime,40,-0.090532264,0.640287308,0.101238313,0.376674371
crit,40,0.031985753,0.572287028,0.090486524,0.725627591
dprime,40,-0.045101417,0.427036846,0.067520454,0.508088809
crit,40,0.063182841,0.480925692,0.076041029,0.411085699
dprime,40,0.034699896,0.557405928,0.088133616,0.695932777
crit,40,0.005922035,0.500777646,0.079179898,0.940762409
dprime,40,0.006456352,0.470988976,0.074469896,0.931355583
crit,40,-0.006054463,0.64487746,0.101964079,0.95295395
dprime,40,-0.015287919,0.538902065,0.085207898,0.858537613
crit,40,0.165862975,0.553670643,0.087543015,0.065571178
dprime,40,0.052515826,0.565598813,0.089429025,0.560430683